|sequence|error|arcom_id|Simplicité|convivialité|festif|amitié|Diététique|qualité|Origine|Naturel|sensation|savoir-faire|Nutrition|santé|rapidité|Goût|Gourmandise|snacking
0|"Séquences montrant divers petits pas mais qui ont une grande importance :  deux jeunes ados qui s'embrassent, le premier pas sur la lune, un oisillon qui prend son envol.Voix homme : "" Chez INNOCENT, on sait qu'il y a ...
 ... des petits pas qui comptent, ...
 ... des petits pas célèbres, ...
 ... des petits pas qui donnent des ailes.
 ... Alors on a créé LES GRANDS PETITS PAS ...
 ... pour aider les gens et la planète à vivre mieux.
 ... Une grande opération pour soutenir et financer des projets solidaires partout en France.
 ... Là, là, là !
 ... Alors inscrivez vite votre projet sur lesgrandspetitspas.fr. """|False|34269|0.8027622699737549|0.7436783313751221|0.652808666229248|0.5789396166801453|0.3299688398838043|0.21713104844093323|0.21619421243667603|0.12938973307609558|0.1012737825512886|0.01477067917585373|0.013562739826738834|0.00920743029564619|0.00898702722042799|0.004509182646870613|0.0005500467959791422|0.00014057908265385777
1|"Suite de saynètes mettant en scène des personnes buvant différentes gamme de COCA COLA, qui profitent de la vie, quelle que soit la forme que cela prenne.Voix femme (chanté) : "" Savoure l'instant.
 ... La vie, l'amour et le vent ...
 
 ... personne ne pourra jamais nous en empêcher. Personne.
 
 
 ... Personne ne pourra jamais nous en empêcher.
 
 ... Savoure l'instant ! """|False|12207|0.8801829814910889|0.9726988077163696|0.9191313982009888|0.3870446979999542|0.7742418050765991|0.49505600333213806|0.30758947134017944|0.23663781583309174|0.049380529671907425|0.0016684767324477434|0.006487029604613781|0.050404563546180725|0.00018155504949390888|0.963295578956604|0.7410790920257568|0.0001691557263256982
2|"Une jeune DJ panique un peu en arrivant sur scène mais elle reprend vite le contrôle en touchant un LIPTON GREEN ICE TEA qui l'a propulsée dans la jungle, ce qui a eu pour effet de la calmer.Voix femme : "" Laissez-vous surprendre ...
 ... par LIPTON GREEN ICE TEA, ...
 ... le goût délicieux du thé vert, faible en calories.
 
 ... Avec LIPTON GREEN ICE TEA, ...
 ... ressourcez-vous ! """|False|15866|0.029165850952267647|0.14582762122154236|0.48522451519966125|0.008742856793105602|0.1603107899427414|0.3799641728401184|0.028877461329102516|0.5342952609062195|0.9140106439590454|0.041424162685871124|0.23477238416671753|0.8560551404953003|0.00502849742770195|0.6772969961166382|0.5284996628761292|0.0004592555924318731
3|"Dans un restaurant, un mafieux déguste un SCHWEPPES quand il se fait arrêter par la police, une jeune femme déambule en roller au milieu d'un tournoi d'achat en buvant un SCHWEPPES, en cuisine, la cheffe boit également la boisson. Tous entonnent un ""I like it lit that"" après avoir bu, nouvelle signature de la marque et bande son.La femme (en anglais 1) : "" C'est comme ça que je l'aime. ""
 
 
 Voix femme (2)  : "" SCHWEPPES. ""
 Voix femme (3) : "" Nouveau ! Découvrez votre tonic en version pink ...
 (3) ... au goût plus doux et fruité. """|False|38731|0.005208233837038279|0.8250322341918945|0.17251990735530853|0.00911254808306694|0.03219817206263542|0.21931105852127075|0.03599674627184868|0.08931735157966614|0.037171464413404465|0.06639120727777481|0.007252122275531292|0.4351571500301361|0.0034056617878377438|0.8041109442710876|0.8192975521087646|0.00141126976814121
4|"Luc Baeyens, directeur général CRISTALINE, évoque le nouveau bouchon qui reste accroché sur les bouteilles de CRISTALINE.Luc Baeyens (1) : "" Vous l'avez sans doute remarqué, ... 
 (1) ... CRISTALINE vient de créer le premier bouchon ...
 (1) ... qui reste accroché à sa bouteille.
 (1) ... Un changement pratique et ...
 (1) ... esthétique mais surtout un enjeu écologique.
 (1) ... Depuis 30 ans, CRISTALINE oeuvre pour l'environnement ...
 (1) ... en diminuant le poids de ses bouteilles, ...
 (1) ... en participant au recyclage ...
 (1) ... et en diminuant les distances de transport.
 (1) ... Malgré la progression du recyclage, ...
 (1) ... on s'est aperçu que trop de bouchons s'égaraient dans la nature.
 (1) ... Conséquence : les oiseaux marins les confondaient avec de la nourriture et en étaient victimes.
 (1) ... De là est née l'idée du bouchon ...
 (1) ... solidaire de la bouteille qui s'est développé sur tous les formats CRISTALINE.
 (1) ... Comme on l'explique dans notre dernière pub, ...
 (1) ... cela modifie le comportement des consommateurs ...
 (1) ... qui doivent adopter un nouveau geste ...
 (1) ... mais surtout, on ne retrouve plus ces bouchons dans la nature. ""
 Voix femme (2) : "" Grâce à vous, CRISTALINE est l'eau préférée des Français. """|False|24789|0.2708950936794281|0.07052706182003021|0.057396695017814636|0.026576606556773186|0.4217700958251953|0.08491779118776321|0.27918359637260437|0.5745829939842224|0.04967103525996208|0.06280086934566498|0.0018346646102145314|0.0006089687813073397|0.018796268850564957|0.07693908363580704|0.016171663999557495|0.003559042466804385
5|"Une voix off énumère les ingrédients principaux de la boisson FUZE TEA qui ont été fusionnés afin d'avoir ce goût unique. Des plans sur cesdits ingrédients accompagnent la voix off, à savoir : le thé noir, la pêche et la fleur d'hibiscus.Voix homme : "" Une délicieuse fusion ...
 ... de thé noir infusé, ...
 ... saveur pêche, ...
 ... saveur d'hibiscus.
 
 ... FUZE TEA, un monde de fusion. """|False|44394|0.002586011542007327|0.004154284484684467|0.017798559740185738|0.0005171216325834394|0.16267091035842896|0.6947895884513855|0.4012431502342224|0.3695485591888428|0.05628855153918266|0.4374045431613922|0.01315667387098074|0.055270854383707047|0.00031557620968669653|0.9391259551048279|0.8184438347816467|0.00046292965998873115
6|"Deux copines sont installées sur des matelas gonflables dans une piscine, une citronnade à la main. Quand l'une d'elles y goûte, elle félicite son amie qui se vante de ne pas l'avoir faite.La femme (1) : "" Hum, super bonne ta citronnade ! ""
 
 La femme (2) : "" Merci, c'est moi qui l'ai pas faite. ""
 Voix homme (3) : "" Des citrons déjà pressés pour vous, ...
 (3) ... de l'eau de source, ...
 (3) ... et une pointe de sucre. PULCO CITRONNADE, bienfait pour vous. """|False|15578|0.031224248930811882|0.8326820731163025|0.1957045942544937|0.08746068179607391|0.05478083714842796|0.08024854958057404|0.030297627672553062|0.38543829321861267|0.04549499228596687|0.027622779831290245|0.019158760085701942|0.05710609257221222|0.005950389429926872|0.4631381034851074|0.7259771823883057|0.020113758742809296
7|"Plan sur des canettes de COCA COLA LIGHT TASTE d'où s'échappent des bulles de couleur. Une voix off souligne la légèreté du breuvage et nous invite à en goûter.Voix homme : "" COCA COLA LIGHT TASTE, ...
 ... un nouveau look pour un goût toujours aussi léger.
 ... Exotic Mango, Ginger Lime. Avec les nouvelles saveurs COCA COLA LIGHT TASTE, goûtez à la légèreté. """|False|27309|0.024056782945990562|0.029506653547286987|0.026203779503703117|0.00011368200648576021|0.029896114021539688|0.25863388180732727|0.030910305678844452|0.2472599744796753|0.10289222002029419|0.01376586128026247|0.005145673174411058|0.4927712380886078|0.00017709485837258399|0.9875500202178955|0.9624271392822266|0.005473718047142029
8|"Un ""monsieur météo"" est déprimé par sa présentation d'un temps plus que maussade sur l'ensemble du pays. Son humeur change dès qu'il boit un verre de SALVETAT. Il prend alors un fort accent du Sud et remplace les nuages par de beaux soleils.Le monsieur météo (1) : "" Aujourd'hui, la dépression envahit notre pays.
 (1) ... Un cumul de cumulus, un ciel gris à l'Ouest, un ciel gris à l'Est et partout ailleurs, un ciel nuageux.
 
 
 (1) ... Aaah.
 
 (1 avec l'accent du Sud) ... Et beh, elle est bien grise cette carte ! Elle te ferait pleurer une cigale !
 (1) ... Et les copains, vous auriez pu forcer un peu sur le jaune, vous allez me les déprimer là ! ""
 Voix femme (2) : "" La SALVETAT, elle a mis le sud en bouteille pas le sel. ""
 (1) ... Nouveau format 50cl. ""
(2) ... Maintenant le sud existe aussi à emporter. """|False|12259|0.017741892486810684|0.01859825663268566|0.018526645377278328|0.005318227224051952|0.6561504006385803|0.03266976401209831|0.01976921781897545|0.19343098998069763|0.02541171759366989|0.007423726376146078|0.004601818509399891|0.06808196008205414|0.004203583113849163|0.007407593075186014|0.008459131233394146|0.002160809002816677
9|"Un jeune homme fait la queue sous un soleil de plomb pour pouvoir entrer dans un parc d'attractions. N'en pouvant plus, il secoue et boit en plusieurs gorgées une bouteille d'ORANGINA. A chaque gorgée, il se retrouvera dans des situations insolites, et souvent rafraîchissantes.Voix homme : "" C'est meilleur quand c'est secoué !
 ... ORANGINAAAAA ! """|False|39240|0.15312518179416656|0.9030188322067261|0.831483781337738|0.011663897894322872|0.14014646410942078|0.05941431224346161|0.11260953545570374|0.1926804780960083|0.9725704193115234|0.07629070430994034|0.0017380905337631702|0.046793196350336075|0.011041657999157906|0.1563841998577118|0.13405412435531616|0.0005397421773523092
