|sequence|error|arcom_id|animaux|Paysage|ruralité|Danse|Saga|Mascotte|Famille|Recette|bonne humeur|enfants|parents|interpellation
0|"A Vittel, en pleine forêt, parce que l'eau de la rivière que boivent les animaux est naturellement source de vitalité, un écureuil, prend son élan sur une branche et bondit si haut et si fort, qu'il arrive à ""dunker"" une noisette dans son nid."|False|32777|0.04262489452958107|0.01886947639286518|0.005038290750235319|0.0014032172039151192|0.0011645135236904025|0.0011324842926114798|0.001092529040761292|0.001063095754943788|0.0007899251068010926|0.0005258446908555925|0.0003430552897043526|0.00014166184701025486
1|Karlie Kloss boit du LIPTON GREEN ICE TEA pour se ressourcer.|False|20753|0.0001856493909144774|0.0007206463487818837|0.0014141678111627698|0.004772326909005642|0.0034711984917521477|0.002150357700884342|0.0017955726943910122|0.010249624960124493|0.004500287119299173|0.0005953827640041709|0.0011601968435570598|0.0005948969628661871
2|Au bord d'une piscine, une femme lit un magazine où chaque page relate les ingrédients du PULCO FINES BULLES.|False|26114|0.0709315612912178|0.004649081267416477|0.004094481468200684|0.0020470842719078064|0.001835283706896007|0.0006888184580020607|0.000511162041220814|0.24933762848377228|0.0003376710519660264|0.00021768583974335343|0.00012926047202199697|0.00010745807230705395
3|"Omar Sy interrompt une jeune femme qui vient de prendre un verre de FINLEY dans un restaurant pour lui faire passer un test qui dira si oui ou non elle peut boire sa boisson : ""12 heures d'avion vous attendent, comment vous les occupez ?"". La femme passe le test haut la main, avec une réplique qu'elle lui fait à l'oreille et qui séduit l'acteur."|False|10821|0.00016973493620753288|0.0007654247456230223|0.0014231186360120773|0.009659111499786377|0.005087511148303747|0.0016367683419957757|0.0018761841347441077|0.0022469128016382456|0.014755889773368835|0.0003336503286845982|0.0006682072998955846|0.16784383356571198
4|"Sur un ring installé en pleine rue se joue un match de catcheurs, suivi par des spectateurs. Lors de la mi-temps le participant perdant, se voit donner des conseils défensifs par son entraîneur et se rafraîchit avec un ORANGINA. La cloche ayant sonné, il se rue sur le ring et saisit son adversaire pour... un porté, clin d'oeil au du film ""Dirty Dancing"". Le combat devient alors une comédie musicale."|False|21839|0.017402101308107376|0.004917087499052286|0.006283172871917486|0.020595142617821693|0.004571632016450167|0.002981526544317603|0.007118326146155596|0.0027541497256606817|0.03214918449521065|0.002671207766979933|0.0013571728486567736|0.016808677464723587
5|Gros plan sur des citrons en phase d'infusion dans une eau minérale VITTEL. Ces éléments composent la boisson VITTEL & FRUITS BIO INFUSES qu'un homme se délecte assis sur un banc.|False|27102|0.00018353555060457438|0.0048595694825053215|0.002528892597183585|0.002076498931273818|0.0028472046833485365|0.00026876022457145154|0.0005196715355850756|0.01277096476405859|0.0004559819644782692|7.145365816541016e-05|0.0002519167319405824|0.00010471183486515656
6|Un super héros CAPRI-SUN nous présente le nouveau sirop CAPRI-SUN multivitaminé qui transforme l'eau en un CAPRI-SUN frais et vitaminé.|False|45347|0.01676424965262413|0.0017299230676144361|0.0008850492304190993|0.00901181623339653|0.005955756176263094|0.008433189243078232|0.0013076385948807001|0.09457650035619736|0.04761502146720886|0.06454450637102127|0.0012828863691538572|0.0010195198701694608
7|"Dans un restaurant, un mafieux se fait arrêter par la police, une jeune femme déambule en roller au milieu d'un tournoi d'échecs, et en cuisine, la cheffe prépare des mets. Chacun déguste un SCHWEPPES et entonne dans la foulée un ""I like it like that""."|False|47833|0.00013035758456680924|0.0004435403971001506|0.0014937061350792646|0.012604020535945892|0.003215288743376732|0.0007979325018823147|0.0031280035618692636|0.00709647499024868|0.05550095811486244|0.00012500867887865752|0.0005208552465774119|0.1253635138273239
8|Depuis une source d'eau souterraine ouverte sur l'extérieur, une montgolfière au couleur de PERRIER, s'envole, et passe à travers les arbres, pour rejoindre le ciel. Des centaines d'autres montgolfières la rejoignent, avec à leur bord, des personnages et représentants de la marque. Ainsi, on retrouve des héros d'anciennes campagnes publicitaires, une joyeuse fanfare, des pom-pom girls, un arbitre de Roland Garros, des garçons de café, des clubbers en train de mixer .....Tous ces ballons dépassent le plancher nuageux pour finalement se transformer en 1 million de petites bulles de PERRIER.|False|8446|0.8441351652145386|0.44071823358535767|0.025159360840916634|0.01019630953669548|0.00441311439499259|0.024111371487379074|0.003287155646830797|0.015813149511814117|0.068584144115448|0.0014851130545139313|0.0006507281213998795|9.589836554368958e-05
9|Luc Baeyens, directeur général CRISTALINE, évoque le recyclage au sein de l'entreprise CRISTALINE.|False|36782|0.00027037321706302464|0.0014949277974665165|0.0006917953141964972|0.001248065964318812|0.00166430848184973|0.0009147637756541371|0.001249846420250833|0.002223683288320899|0.000270444608759135|0.0005385284894146025|0.0005048020975664258|0.0005366508266888559
10|Lors d'une randonnée, le téléphone de Patrick sonne. Au bout du fil, son corps lui rappelle qu'il est déshydraté et que son propriétaire doit agir avant qu'il ne se sente mal. Il boit alors ST-YORRE pour réhydrater son corps.|False|46595|0.0011513984063640237|0.0015993976267054677|0.006264450494199991|0.0028575712349265814|0.0024126600474119186|0.001639318186789751|0.0034964734222739935|0.005082488525658846|0.001150919240899384|0.001434166799299419|0.0016271175118163228|0.0010223794961348176
11|Au moment où une femme boit une bouteille de MAY TEA, un vent de fraîcheur se lève et réveille la nature qui l'entoure.|False|12938|0.0001021424395730719|0.16097664833068848|0.031343452632427216|0.004228911828249693|0.0076782372780144215|0.004049067385494709|0.0008416544878855348|0.008162455633282661|0.020269811153411865|7.212743366835639e-05|0.00034551628050394356|7.168518641265109e-05
12|Dans un open space bruyant arpenté par un responsable, un homme soupire, saturé. Il s'accorde une petite pause et boit une bouteille de NESTEA. Au fur et à mesure qu'il avale le liquide, son environnement change, faisant tout disparaître autour de lui et transformant l'espace en plage paradisiaque au sable blanc.|False|15513|0.00016503586084581912|0.1316400021314621|0.013369448482990265|0.011276986449956894|0.004716985858976841|0.0004186276055406779|0.0020758311729878187|0.002889826660975814|0.007690450642257929|0.00012478703865781426|0.0007632193737663329|0.0009122659103013575
