|sequence|error|arcom_id|Recette|animaux|ruralité|bonne humeur|Famille|enfants|Danse|Saga|Mascotte|Paysage|parents|interpellation
0|Film en stop motion proposant deux recettes à base de poireau.|False|17323|0.6263768672943115|0.03603890538215637|0.009311644360423088|0.007845025509595871|0.006840509828180075|0.005236347205936909|0.004272962920367718|0.003440150758251548|0.0016077265609055758|0.0011576875112950802|0.0007268973276950419|0.00019628714653663337
1|Deux enfants dansent et chantent à tue-tête les noms des ingrédients des KNACKI VEGETALE qu'ils aiment tant manger ce qui étonnent les copines de leurs mamans venues leur rendre visite.|False|25610|0.010363589972257614|0.00518497871235013|0.001437072060070932|0.012659000232815742|0.0010292342631146312|0.0500335693359375|0.01102929376065731|0.0015043369494378567|0.0009813879150897264|0.0008380861254408956|0.0011425004340708256|0.00015360522957053035
2|"Un jeune ""débarque"" avec sa sono dans une salle de bal vide, met la musique et se met à danser. Il sera ensuite rejoint par des camarades qui suivront sa chorégraphie."|False|24875|0.001787442248314619|0.0002563629241194576|0.0008353118901140988|0.004119271412491798|0.002476350637152791|0.0020763578359037638|0.06040814518928528|0.002719982760027051|0.001855828333646059|0.002646706998348236|0.000652729591820389|0.00015484823961742222
3|Chaque jour, des enfants reçoivent des preuves d'amour de la part de leur père, leur mère ou encore de leurs nouveaux camarades de classe.  LU prend le parti, de son côté, de confectionner ses biscuits avec du blé local et plus responsable, ceci dans le but de nous satisfaire au mieux avec des produits de qualité.|False|30661|0.11607573926448822|0.0012193318689242005|0.046206869184970856|0.046839017421007156|0.6384695768356323|0.8913319706916809|0.007227462250739336|0.012922260910272598|0.008662094362080097|0.004438134375959635|0.052329156547784805|0.0002279572217958048
4|La bouche pulpeuse d'une jeune femme est filmée en gros plan puis, lors d'un arrêt sur image, celle-ci prend la forme d'un coeur et laisse apparaître le yaourt TAILLEFINE PLUS.|False|6074|0.008912249468266964|0.015859145671129227|0.0018085428746417165|0.0033432277850806713|0.003028092673048377|0.0013865919318050146|0.0032165530137717724|0.003695517312735319|0.0028399142902344465|0.0015516342828050256|0.0013220352120697498|0.0007766285561956465
5|Dans la rue, une femme attrape un ballon. En tirant dessus, le ballon éclate et laisse échapper des paillettes et un MAGNUM. Des ballons similaires volent partout au dessus de la ville et des femmes courent pour les attraper.|False|743|0.0008807596168480814|0.003932006657123566|0.00011751823330996558|0.003104468574747443|0.0007392531842924654|0.0013385319616645575|0.006082127336412668|0.0019053546711802483|0.0010535396868363023|0.006495120003819466|0.00029681556043215096|5.7147688494296744e-05
6|Alors qu'ils s'apprêtent à attaquer un domaine, des guerriers japonais sont interrompus dans leur élan par le propriétaire des lieux, qui tend un KINDER BUENO WHITE au shogun. Celui-ci, étonné, s'empresse de goûter à la friandise et est rapidement conquis par son goût. Il devient alors doux comme un agneau et propose même son aide au propriétaire pour réparer les dégâts occasionnés par ses hommes dans le jardin.|False|43743|0.009187618270516396|0.004835470579564571|0.0061622727662324905|0.008470778353512287|0.004300843458622694|0.00746869994327426|0.003506594803184271|0.009878060780465603|0.0016244064318016171|0.00461486354470253|0.0018033277010545135|0.0008572789374738932
7|En ville, une femme déguste un biscuit LU puis se lève et marche avec des pots de fleurs à la main. Elle rejoint des centaines de personnes qui marchent toutes dans la même direction. Elles ont également toutes de quoi jardiner dans les bras. Cette foule a le même projet : réaliser un immense champ de verdure en pleine ville.|False|6494|0.002438371069729328|9.207427501678467e-05|0.0005679175956174731|0.0206585880368948|0.0036408451851457357|0.00020067232253495604|0.0030807058792561293|0.0014046372380107641|0.0010384510969743133|0.4671861231327057|0.0006206906982697546|5.0301994633628055e-05
8|Devant la caméra, un homme s'adresse à sa femme. Il lui dit qu'il l'aime et lui fait la promesse de l'aider tous les jours à faire à manger.|False|16445|0.0004065715183969587|6.716854841215536e-05|0.00028554187156260014|0.00016020952898543328|0.007890807464718819|0.00013392401160672307|0.0003844516759272665|0.000196030261577107|0.0001348574151052162|0.00011731178528862074|0.0007188917952589691|6.797957030357793e-05
9|Sous forme de film d'animation, des grands-parents ont organisé pour leurs petits-enfants une chasse aux oeufs pour Pâques. Tandis que le grand-père aperçoit au loin une poule en chocolat CEMOI cachée derrière un arbre,  il appelle alors son chien en sifflant pour que celui-ci lui ramène la poule. Le chien s'exécute aussitôt.|False|36824|0.0008401400991715491|0.0633496344089508|0.03117770329117775|0.004035839810967445|0.03007623180747032|0.03313545137643814|0.0009615106391720474|0.0008979102713055909|0.0008309567347168922|0.0014360758941620588|0.0012399043189361691|0.0001252842921530828
